Year,Population,Population_male,Population_female,ISO3,Population id,Cancer label,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total,Region Name,Year_Units,RT_m,GDP_per_capita,TAC,GammaC,MRI,Mammography,PET
2015,50983912.0,25576742.0,25407170.0,KOR,410,Lung,Male,Mortality,31.17445024,49.79561682,3.342029298,12677,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Lung,Female,Incidence,14.68306165,29.14841671,1.700677348,7431,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Lung,Female,Mortality,8.239805866,18.52224784,0.8397130063,4722,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Breast,Female,Incidence,49.66396189,75.81491026,5.051955207,19328,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Breast,Female,Mortality,5.454973083,9.170905432,0.5955317533,2338,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Prostate,Male,Incidence,25.86631181,40.8082877,3.285259636,10389,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Prostate,Male,Mortality,4.309703539,6.677648387,0.2749603059,1700,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Cervix,Female,Incidence,9.305538203,14.36435231,0.9303673164,3662,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2015,50983912.0,25576742.0,25407170.0,KOR,410,Cervix,Female,Mortality,2.000572763,3.793099039,0.1996196208,967,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
2018,51640894.0,25836216.0,25804678.0,KOR,410,Lung,Male,Mortality,27.50949524,51.50776311,2.797884499,13187,Western Pacific,2013,3.0,35363.9508228687,35.38,8.08,19.99,,3.15
2018,51640894.0,25836216.0,25804678.0,KOR,410,Lung,Female,Mortality,6.971252908,18.14861976,0.6865297275,4664,Western Pacific,2013,3.0,35363.9508228687,35.38,8.08,19.99,,3.15
2018,51640894.0,25836216.0,25804678.0,KOR,410,Breast,Female,Mortality,5.275625371,9.57238521,0.573879964,2460,Western Pacific,2013,3.0,35363.9508228687,35.38,8.08,19.99,,3.15
2018,51640894.0,25836216.0,25804678.0,KOR,410,Prostate,Male,Mortality,4.150329229,7.79237032,0.2375920219,1995,Western Pacific,2013,3.0,35363.9508228687,35.38,8.08,19.99,,3.15
2018,51640894.0,25836216.0,25804678.0,KOR,410,Cervix,Female,Mortality,1.682272263,3.288075407,0.1695408046,845,Western Pacific,2013,3.0,35363.9508228687,35.38,8.08,19.99,,3.15
2022,51782512.0,25840655.0,25941857.0,KOR,410,Lung,Male,Mortality,23.34107406,53.69999,2.4064424,13715,Western Pacific,2017,4.25,34822.4048404971,38.83,5.97,30.29,421.9,3.8
2022,51782512.0,25840655.0,25941857.0,KOR,410,Lung,Male,Mortality,23.34107406,53.69999,2.4064424,13715,Western Pacific,2017,4.25,34822.4048404971,,,,,
2022,51782512.0,25840655.0,25941857.0,KOR,410,Lung,Female,Mortality,6.147250426,18.93145009,0.609813694,4869,Western Pacific,2017,4.25,34822.4048404971,38.83,5.97,30.29,421.9,3.8
2022,51782512.0,25840655.0,25941857.0,KOR,410,Lung,Female,Mortality,6.147250426,18.93145009,0.609813694,4869,Western Pacific,2017,4.25,34822.4048404971,,,,,
2022,51782512.0,25840655.0,25941857.0,KOR,410,Breast,Female,Mortality,5.603697692,11.1240252,0.6173184331,2861,Western Pacific,2017,4.25,34822.4048404971,38.83,5.97,30.29,421.9,3.8
2022,51782512.0,25840655.0,25941857.0,KOR,410,Breast,Female,Mortality,5.603697692,11.1240252,0.6173184331,2861,Western Pacific,2017,4.25,34822.4048404971,,,,,
2022,51782512.0,25840655.0,25941857.0,KOR,410,Prostate,Male,Mortality,3.841489327,9.330446677,0.2257157744,2383,Western Pacific,2017,4.25,34822.4048404971,38.83,5.97,30.29,421.9,3.8
2022,51782512.0,25840655.0,25941857.0,KOR,410,Prostate,Male,Mortality,3.841489327,9.330446677,0.2257157744,2383,Western Pacific,2017,4.25,34822.4048404971,,,,,
2022,51782512.0,25840655.0,25941857.0,KOR,410,Cervix,Female,Mortality,1.408851975,3.052205447,0.1410283898,785,Western Pacific,2017,4.25,34822.4048404971,38.83,5.97,30.29,421.9,3.8
2022,51782512.0,25840655.0,25941857.0,KOR,410,Cervix,Female,Mortality,1.408851975,3.052205447,0.1410283898,785,Western Pacific,2017,4.25,34822.4048404971,,,,,
2015,1328024498.0,686298736.0,641725761.0,IND,356,Lung,Male,Incidence,9.065483731,8.604565897,1.110938258,908,South-East Asia,2010,0.41,1583.99815907985,,,,,
2015,1328024498.0,686298736.0,641725761.0,IND,356,Lung,Female,Incidence,4.382065665,4.600805668,0.532373088,445,South-East Asia,2010,0.41,1583.99815907985,,,,,
2015,1328024498.0,686298736.0,641725761.0,IND,356,Breast,Female,Incidence,32.57393009,35.04883419,3.62318144,3390,South-East Asia,2010,0.41,1583.99815907985,,,,,
2015,1328024498.0,686298736.0,641725761.0,IND,356,Prostate,Male,Incidence,8.25027635,7.56216254,0.9491862009,798,South-East Asia,2010,0.41,1583.99815907985,,,,,
2015,1328024498.0,686298736.0,641725761.0,IND,356,Cervix,Female,Incidence,10.56793387,11.22803361,1.255104757,1086,South-East Asia,2010,0.41,1583.99815907985,,,,,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Lung,Male,Incidence,28.94129754,16.00817387,3.435634201,528,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
2015,105312992.0,52836545.0,52476447.0,PHL,608,Lung,Male,Mortality,22.22585683,11.28908296,2.789530218,5960,Western Pacific,2010,0.19,2909.85818010301,1.15,,0.32,14.94,
