Year,Population,Population_female,ISO3,ASR,Region,RT,GDP,TAC,GammaC,MRI,PET,log_GDP
2022,66277409.0,34160427.0,FRA,1.316348226,Europe,9.18,40988.6396406579,,,,,10.62105022535698
2015,82077550.0,41675704.0,DEU,1.755905016,Europe,6.43,41929.7549110722,,,,,10.643750994955075
2018,83368505.0,42204810.0,DEU,1.875882874,Europe,6.44,48916.1686612154,,,,,10.797863268279754
2015,569536.0,283976.0,LUX,1.846029616,Europe,3.94,105462.012584423,19.71,17.74,13.79,1.97,11.566106096767557
2018,608101.0,302368.0,LUX,0.5410234722,Europe,3.77,116926.759593905,18.85,16.97,13.2,1.89,11.669303031391737
2015,8283933.999999999,4185501.0,CHE,0.8396766757,Europe,9.79,83806.4476003837,,,,,11.336265223849127
2022,8792182.0,4426958.0,CHE,0.8062978234,Europe,12.82,94394.5106803525,,,,,11.455238200870303
2015,11275065.0,5681406.0,CUB,5.043795274,Americas,1.15,7727.91997207998,4.8,1.24,0.8,,8.952595020259022
2018,11227118.0,5665168.0,CUB,5.590648273,Americas,1.15,8911.46205998726,4.79,1.24,0.8,,9.095093599033225
2015,356333.0,177130.0,BLZ,9.496609661,Americas,0.0,6154.62264230369,12.84,0.0,3.21,0.0,8.724958727608884
2015,4818038.0,2432275.0,CRI,4.16523657,Americas,1.72,11714.7105980732,3.01,1.07,0.64,0.0,9.368600647100541
2018,4957818.0,2503744.0,CRI,3.511222439,Americas,2.26,12590.2493781614,5.13,1.23,0.82,0.21,9.440677934480144
2022,5081765.0,2569725.0,CRI,4.225911744,Americas,1.37,13625.9008491328,,,,,9.519727734713333
2015,15971743.0,8043664.0,GTM,7.002816839,Americas,0.83,3893.50533299068,,,,,8.267065144732472
2018,16845685.0,8484035.0,GTM,6.4084399,Americas,0.65,4352.94593289707,,,,,8.378608120822063
2022,17847877.0,8996407.0,GTM,5.411622085,Americas,0.78,5358.70156997677,,,,,8.586476980311613
2015,121072306.0,62006295.0,MEX,6.109427727,Americas,0.58,10021.2386118827,3.94,0.82,1.53,0.12,9.21246198095963
2018,124573711.0,63932674.0,MEX,5.836958188,Americas,0.54,10084.7937562021,3.65,0.76,1.41,0.11,9.218783999629082
2022,128613117.0,66211395.99999999,MEX,5.359302547,Americas,1.86,11405.7940473759,,,,,9.341876755037235
2015,6149417.0,3128020.0,NIC,9.435982745,Americas,0.35,2074.45620634731,0.52,0.17,0.17,0.0,7.637454329088445
2018,6400080.0,3253689.0,NIC,9.186870566,Americas,0.33,2035.16549390507,0.49,0.16,0.16,0.0,7.6183324183563705
2022,6730654.0,3421642.0,NIC,8.941688563,Americas,0.91,2322.89053964583,,,,,7.750567611404438
2015,3960035.0,1976666.0,PAN,7.485265642,Americas,1.71,14082.6548434996,10.52,2.27,3.13,0.0,9.552699166163743
2018,4167860.0,2080896.0,PAN,6.166548771,Americas,1.55,16151.3273433486,9.58,2.07,2.85,0.0,9.689757513716156
2022,4400773.0,2199575.0,PAN,7.674045741,Americas,2.32,17378.6070017557,,,,,9.762995246111021
2015,43477012.0,21939310.0,ARG,4.300167489,Americas,2.82,13679.6264980954,,,,,9.52366288803301
2018,44654882.0,22512096.0,ARG,4.720670631,Americas,2.75,11752.7998922979,,,,,9.371846779892264
2022,45407904.0,22880775.0,ARG,4.783415826,Americas,3.96,13962.1894087223,,,,,9.544108198454824
2015,201675532.0,102088079.0,BRA,4.604653224,Americas,1.76,8936.1955889444,,,,,9.097865228260668
2018,206107261.0,104452738.0,BRA,4.843195263,Americas,1.74,9300.66072904004,,,,,9.137840722751028
2015,18047625.0,9071160.0,CHL,4.607123235,Americas,0.93,13433.9202987032,12.97,,4.5,0.0,9.505538153004625
2018,18893191.0,9495561.0,CHL,4.194127846,Americas,0.91,15659.4808675628,12.6,,4.37,0.0,9.658831818775825
2015,46969940.0,23748377.0,COL,5.950967466,Americas,1.38,6248.51490534512,,,,,8.740099099350715
2018,49024465.0,24795336.0,COL,5.63197911,Americas,1.45,6816.96818309544,,,,,8.827170104063562
2015,16266225.0,8140628.0,ECU,5.432920935,Americas,0.14,5976.1596805651,1.73,0.14,0.14,0.14,8.695533446764424
2018,17049547.0,8531909.0,ECU,4.889848574,Americas,0.13,6303.91886658338,1.59,0.13,0.13,0.13,8.748926761306318
2022,17823897.0,8935073.0,ECU,4.513752895,Americas,1.59,6515.58528418336,,,,,8.781952321929632
2015,758781.0,386282.0,GUY,9.290973239,Americas,1.33,5640.41560569466,3.98,,1.33,,8.637713030730161
2018,791556.0,403661.0,GUY,11.99784179,Americas,1.25,6048.38697180418,3.75,,1.25,,8.707546899245747
2015,6159103.0,3059517.0,PRY,10.58726771,Americas,0.62,5879.33792308762,1.08,0.0,0.31,0.0,8.67919943643868
2018,6427382.0,3196439.0,PRY,11.23893629,Americas,0.59,6258.44991640984,1.03,0.0,0.29,0.0,8.74168781624502
2015,3368017.0,1735969.0,URY,3.34865746,Americas,3.86,17125.9016800298,13.06,2.97,2.97,0.3,9.748347314592769
2018,3394534.0,1748368.0,URY,2.966462558,Americas,3.82,19249.9404677501,12.91,2.94,2.94,0.29,9.865263247126737
2022,3390913.0,1746501.0,URY,3.656837237,Americas,6.91,20818.6146091144,,,,,9.943602798606014
2015,30573972.0,15378701.0,VEN,9.740112026,Americas,2.31,4103.1384987005,,,,,8.319507447344211
2015,35962234.0,18124573.0,CAN,1.31640463,Americas,8.73,43594.1941045394,14.23,21.05,8.26,1.18,10.682679257730259
2018,37295005.0,18780076.0,CAN,1.16664805,Americas,8.07,46539.1761570405,13.76,20.35,7.99,1.14,10.748049734874089
2022,38821259.0,19538904.0,CAN,1.233960422,Americas,9.3,56256.8007264015,,,,,10.937682214561326
2015,326126497.0,162671094.0,USA,1.696197001,Americas,12.76,56572.9188996063,,,,,10.943285685019262
2018,335056497.0,166697774.0,USA,1.607717623,Americas,12.37,62499.8744390068,,,,,11.042919826746584
2022,341534046.0,169861303.0,USA,1.509663419,Americas,13.16,76657.2488844403,44.56,48.37,40.11,5.41,11.247099451053959
2022,341534046.0,169861303.0,USA,1.509663419,Americas,13.16,76657.2488844403,,,,,11.247099451053959
2015,23948002.0,12055514.0,AUS,1.210938792,Western Pacific,4.22,56970.3613028094,,,,,10.950286434437997
2018,25119706.0,12654146.0,AUS,1.154507884,Western Pacific,4.03,57410.1737346009,,,,,10.957976809365096
2022,26200984.0,13200513.0,AUS,1.261053262,Western Pacific,9.29,65169.5191118657,69.88,18.94,14.71,4.0,11.084747140319083
2022,26200984.0,13200513.0,AUS,1.261053262,Western Pacific,9.29,65169.5191118657,,,,,11.084747140319083
2015,4614029.0,2342197.0,NZL,1.446799588,Western Pacific,7.1,38665.3723018158,15.8,3.43,9.62,0.46,10.562699705907054
2018,4900847.0,2471081.0,NZL,1.450682868,Western Pacific,6.21,43257.0769238879,,,,,10.674916127272361
