Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita,RTCenters_m,Linac_m,Protontherapy_m,XRay_m,Brachytherapy_m
Lung,Male,Mortality,2013,25.33556692,56.21557007,3.125789762,1503,Finland,Northern Europe,13,50,0,0,7,2020,5439053.0,2673637.0,2765416.0,49691.0145200739,2.390121956892128,9.192776757277416,0.0,0.0,1.2869887460188383
Lung,Male,Mortality,2014,22.53887413,51.40924045,2.694120348,1381,Finland,Northern Europe,13,50,0,0,7,2020,5461684.0,2686287.0,2775396.0,50073.7760815871,2.380218262352783,9.154685624433784,0.0,0.0,1.2816559874207296
Lung,Male,Mortality,2015,22.94776438,54.06322394,2.81569766,1458,Finland,Northern Europe,13,50,0,0,7,2020,5479717.0,2696843.0,2782875.0,42560.3456767103,2.372385289240302,9.124558804770391,0.0,0.0,1.277438232667855
Lung,Male,Mortality,2016,22.88794684,54.93096873,2.755212565,1487,Finland,Northern Europe,13,50,0,0,7,2020,5495469.0,2707034.0,2788435.0,43451.2562442158,2.365585175714757,9.098404521979834,0.0,0.0,1.2737766330771767
Lung,Male,Mortality,2017,22.16599771,55.01056394,2.564457809,1494,Finland,Northern Europe,13,50,0,0,7,2020,5508396.0,2715842.0,2792554.0,46085.0174739036,2.3600336649725255,9.077052557586637,0.0,0.0,1.2707873580621292
Lung,Male,Mortality,2018,21.18286811,53.68715163,2.621618209,1461,Finland,Northern Europe,13,50,0,0,7,2020,5515736.0,2721322.0,2794415.0,49654.2497035329,2.3568930782764075,9.064973377986185,0.0,0.0,1.2690962729180657
Lung,Male,Mortality,2019,20.93495748,55.39540211,2.526933506,1510,Finland,Northern Europe,13,50,0,0,7,2020,5521759.0,2725858.0,2795901.0,48358.1807773701,2.354322236808959,9.055085526188304,0.0,0.0,1.2677119736663625
Lung,Male,Mortality,2020,19.4644858,51.73773618,2.308687782,1413,Finland,Northern Europe,13,50,0,0,7,2020,5529612.0,2731082.0,2798530.0,48828.6846862799,2.350978694346005,9.042225747484634,0.0,0.0,1.2659116046478487
Lung,Male,Mortality,2021,19.81089691,54.44557624,2.405136516,1491,Finland,Northern Europe,13,50,0,0,7,2020,5541075.0,2738515.0,2802561.0,53099.1351400148,2.3461151491362235,9.02351980437009,0.0,0.0,1.2632927726118126
Lung,Male,Mortality,2022,19.42570878,54.23157974,2.371257198,1493,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974,2.3342255461594,8.977790562151538,0.0,0.0,1.2568906787012155
Lung,Female,Mortality,2007,9.116735191,21.2350419,1.072812644,573,Finland,Northern Europe,13,50,0,0,7,2020,5288710.0,2590340.0,2698370.0,48473.0240091455,2.4580663337562467,9.454101283677872,0.0,0.0,1.323574179714902
Lung,Female,Mortality,2008,9.339245098,22.59064079,1.111291363,612,Finland,Northern Europe,13,50,0,0,7,2020,5313377.0,2604291.0,2709086.0,53769.4726240385,2.4466549239777264,9.41021124606818,0.0,0.0,1.317429574449545
Lung,Female,Mortality,2009,9.059541008,21.90840998,1.125548453,596,Finland,Northern Europe,13,50,0,0,7,2020,5338856.0,2618440.0,2720416.0,47478.3495310999,2.434978579680741,9.36530222954131,0.0,0.0,1.3111423121357835
