Year,TAC,GammaC,MRI,Mammography,PET,ISO3
2022,18.72,7.08,15.84,0.0,2.56,FRA
2022,0.0,0.0,0.0,0.0,0.0,FRA
2015,0.0,0.0,0.0,0.0,0.0,FSM
2018,0.0,0.0,0.0,0.0,0.0,FSM
2019,0.0,0.0,0.0,0.0,0.0,FSM
2026,8.7,0.0,0.0,0.0,0.0,FSM
2015,3.99,0.0,1.33,78.63,0.0,GAB
2018,3.59,0.0,1.2,0.0,0.0,GAB
2019,0.0,0.0,0.0,73.12,0.0,GAB
2022,0.0,0.0,0.0,0.0,0.0,GAB
2015,0.0,0.0,0.0,0.0,0.0,GBR
2018,0.0,0.0,0.0,0.0,0.0,GBR
2022,0.0,0.0,0.0,0.0,0.0,GBR
2015,8.73,0.69,0.0,44.64,0.0,GEO
2018,8.75,0.69,0.0,0.0,0.0,GEO
2019,0.0,0.0,0.0,40.74,0.0,GEO
2022,0.0,0.0,0.0,0.0,0.0,GEO
2015,0.16,0.08,0.08,0.0,0.0,GHA
2018,0.15,0.077,0.077,0.0,0.0,GHA
2022,0.0,0.0,0.0,0.0,0.0,GHA
2026,0.35,0.0,0.23,0.0,0.0,GHA
2015,0.0,0.0,0.0,0.0,0.0,GIN
2018,0.0,0.0,0.0,0.0,0.0,GIN
2019,0.0,0.0,0.0,0.0,0.0,GIN
2015,1.16,0.0,0.58,17.51,0.0,GMB
2018,1.08,0.0,0.54,0.0,0.0,GMB
2019,0.0,0.0,0.0,16.49,0.0,GMB
2026,1.24,0.0,0.0,43.89,0.0,GMB
2015,0.0,0.0,0.0,0.0,0.0,GNB
2018,0.0,0.0,0.0,0.0,0.0,GNB
2019,0.0,0.0,0.0,0.0,0.0,GNB
2015,0.0,0.0,0.0,0.0,0.0,GRC
2018,33.16,14.38,22.02,0.0,0.45,GRC
2019,0.0,0.0,0.0,438.4,0.0,GRC
2022,41.83,13.82,30.22,492.2,1.25,GRC
2022,0.0,0.0,0.0,0.0,0.0,GRC
2015,19.14,0.0,9.57,153.3,0.0,GRD
2018,18.89,0.0,9.44,0.0,0.0,GRD
2019,0.0,0.0,0.0,134.6,0.0,GRD
2015,0.0,0.0,0.0,0.0,0.0,GTM
2018,0.0,0.0,0.0,0.0,0.0,GTM
2022,0.0,0.0,0.0,0.0,0.0,GTM
2015,3.98,0.0,1.33,66.75,0.0,GUY
2018,3.75,0.0,1.25,0.0,0.0,GUY
2019,0.0,0.0,0.0,69.98,0.0,GUY
2022,0.0,0.0,0.0,0.0,0.0,GUY
2015,2.24,0.13,1.18,57.03,0.0,HND
2018,2.1,0.12,1.11,0.0,0.0,HND
2019,0.0,0.0,0.0,50.87,0.0,HND
2022,0.0,0.0,0.0,0.0,0.0,HND
2026,1.72,0.1,0.91,34.41,0.0,HND
2015,14.53,5.9,7.04,213.3,0.45,HRV
2018,14.92,6.06,7.23,0.0,0.47,HRV
2019,0.0,0.0,0.0,206.5,0.0,HRV
2022,0.0,0.0,0.0,0.0,0.0,HRV
2015,0.3,0.0,0.0,20.48,0.0,HTI
2018,0.29,0.0,0.0,0.0,0.0,HTI
2019,0.0,0.0,0.0,19.47,0.0,HTI
2015,6.61,10.22,1.4,101.8,0.6,HUN
2018,6.63,10.25,1.41,0.0,0.6,HUN
2019,0.0,0.0,0.0,103.6,0.0,HUN
2022,9.52,11.8,4.97,111.1,0.93,HUN
2022,0.0,0.0,0.0,0.0,0.0,HUN
2015,0.0,0.0,0.0,0.0,0.0,IDN
2018,0.0,0.0,0.0,0.0,0.0,IDN
2022,0.0,0.0,0.0,0.0,0.0,IDN
2015,0.0,0.0,0.0,0.0,0.0,IND
2018,0.0,0.0,0.0,0.0,0.0,IND
2022,0.0,0.0,0.0,0.0,0.0,IND
2015,4.7,3.13,2.01,24.77,0.45,IRL
2018,4.54,3.03,1.95,0.0,0.43,IRL
2019,0.0,0.0,0.0,23.2,0.0,IRL
2022,21.26,4.66,15.8,150.0,1.82,IRL
2022,0.0,0.0,0.0,0.0,0.0,IRL
2015,0.0,0.0,0.0,0.0,0.0,IRN
2018,0.0,0.0,0.0,0.0,0.0,IRN
2022,0.0,0.0,0.0,0.0,0.0,IRN
2015,2.37,0.16,1.74,37.69,0.0,IRQ
2018,2.22,0.15,1.63,0.0,0.0,IRQ
2019,0.0,0.0,0.0,35.43,0.0,IRQ
2022,0.0,0.0,0.0,0.0,0.0,IRQ
2015,40.61,12.49,21.87,151.6,0.0,ISL
2018,39.45,12.14,21.24,0.0,0.0,ISL
2019,0.0,0.0,0.0,139.0,0.0,ISL
2022,49.85,8.8,20.53,149.7,2.93,ISL
2022,0.0,0.0,0.0,0.0,0.0,ISL
2015,7.82,10.78,1.35,117.6,0.81,ISR
2018,7.5,10.35,1.29,0.0,0.78,ISR
2019,0.0,0.0,0.0,112.3,0.0,ISR
2022,10.17,9.59,5.31,112.3,1.62,ISR
2022,0.0,0.0,0.0,0.0,0.0,ISR
2015,0.0,0.0,0.0,0.0,0.0,ITA
2018,0.0,0.0,0.0,0.0,0.0,ITA
2022,35.1,7.69,28.71,233.0,3.47,ITA
2022,0.0,0.0,0.0,0.0,0.0,ITA
2015,1.46,0.0,1.46,57.55,0.0,JAM
2018,1.44,0.0,1.44,0.0,0.0,JAM
2019,0.0,0.0,0.0,51.27,0.0,JAM
2022,0.0,0.0,0.0,0.0,0.0,JAM
2015,6.46,1.13,2.42,166.1,0.32,JOR
2018,5.5,0.96,2.06,0.0,0.27,JOR
2019,0.0,0.0,0.0,129.1,0.0,JOR
2026,7.84,1.18,3.92,0.0,0.39,JOR
2015,101.7,0.0,46.16,225.9,4.37,JPN
2018,101.2,0.0,45.94,0.0,4.35,JPN
2019,0.0,0.0,0.0,227.3,0.0,JPN
2022,111.7,11.5,55.31,267.4,4.63,JPN
2022,0.0,0.0,0.0,0.0,0.0,JPN
2015,1.5,0.06,1.12,23.82,0.06,KAZ
2018,1.46,0.061,1.09,0.0,0.061,KAZ
2019,0.0,0.0,0.0,22.1,0.0,KAZ
2022,0.0,0.0,0.0,0.0,0.0,KAZ
2015,0.27,0.05,0.17,7.72,0.0,KEN
