Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Indicator,Region Name,Year_Units,RT_m,Population,Population_male,Population_female,GDP_per_capita
Lung,Male,Mortality,2015,34.66814588,68.87709107,4.463708206,3568,Czechia,Total density per million population: Radiotherapy units,Europe,2010,4.96,10524416.0,5176537.0,5347880.0,17931.5987670768
Lung,Male,Mortality,2018,30.53158653,65.0814005,3.946398846,3404,Czechia,Total density per million population: Radiotherapy units,Europe,2013,4.86,10548937.0,5196327.0,5352610.0,23705.9329811299
Lung,Male,Mortality,2022,25.47311949,58.76583784,3.135460257,3102,Czechia,Total density per million population: Radiotherapy units,Europe,2017,10.65,10673213.0,5262083.0,5411131.0,28282.2236715857
Lung,Female,Incidence,2015,18.53394233,42.10565573,2.449292946,2258,Czechia,Total density per million population: Radiotherapy units,Europe,2010,4.96,10524416.0,5176537.0,5347880.0,17931.5987670768
Lung,Female,Mortality,2015,13.2494099,31.56991814,1.699719496,1693,Czechia,Total density per million population: Radiotherapy units,Europe,2010,4.96,10524416.0,5176537.0,5347880.0,17931.5987670768
Lung,Female,Mortality,2018,13.53822849,34.6734662,1.74420684,1871,Czechia,Total density per million population: Radiotherapy units,Europe,2013,4.86,10548937.0,5196327.0,5352610.0,23705.9329811299
Lung,Female,Mortality,2022,12.08068543,34.13643041,1.536883035,1871,Czechia,Total density per million population: Radiotherapy units,Europe,2017,10.65,10673213.0,5262083.0,5411131.0,28282.2236715857
Lung,Male,Incidence,2015,37.98131533,82.90419782,4.659047171,2340,Denmark,Total density per million population: Radiotherapy units,Europe,2010,9.73,5683701.0,2824525.0,2859176.0,53094.0133607574
Lung,Male,Incidence,2018,36.80332301,83.66821441,4.563572323,2411,Denmark,Total density per million population: Radiotherapy units,Europe,2013,9.61,5793824.0,2882749.0,2911075.0,61324.7665045565
Lung,Male,Incidence,2022,34.31986034,84.8899613,4.248406153,2494,Denmark,Total density per million population: Radiotherapy units,Europe,2017,12.26,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Male,Mortality,2015,29.5207089,67.05552261,3.407368698,1894,Denmark,Total density per million population: Radiotherapy units,Europe,2010,9.73,5683701.0,2824525.0,2859176.0,53094.0133607574
Lung,Male,Mortality,2018,24.8372092,59.76933823,2.833603168,1723,Denmark,Total density per million population: Radiotherapy units,Europe,2013,9.61,5793824.0,2882749.0,2911075.0,61324.7665045565
Lung,Male,Mortality,2022,21.8149348,57.83689009,2.494459715,1698,Denmark,Total density per million population: Radiotherapy units,Europe,2017,12.26,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Female,Incidence,2015,36.28785823,83.09367595,4.603204488,2373,Denmark,Total density per million population: Radiotherapy units,Europe,2010,9.73,5683701.0,2824525.0,2859176.0,53094.0133607574
Lung,Female,Incidence,2018,36.70102624,86.50991959,4.650628028,2516,Denmark,Total density per million population: Radiotherapy units,Europe,2013,9.61,5793824.0,2882749.0,2911075.0,61324.7665045565
Lung,Female,Incidence,2022,35.27687646,90.62602602,4.540754013,2694,Denmark,Total density per million population: Radiotherapy units,Europe,2017,12.26,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Female,Mortality,2015,25.6298374,62.53549974,3.159007005,1788,Denmark,Total density per million population: Radiotherapy units,Europe,2010,9.73,5683701.0,2824525.0,2859176.0,53094.0133607574
Lung,Female,Mortality,2018,21.9189795,57.81368432,2.66195861,1683,Denmark,Total density per million population: Radiotherapy units,Europe,2013,9.61,5793824.0,2882749.0,2911075.0,61324.7665045565
Lung,Female,Mortality,2022,20.28375767,58.27315313,2.511203995,1729,Denmark,Total density per million population: Radiotherapy units,Europe,2017,12.26,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Male,Incidence,2015,7.132969382,6.372424618,0.8513922827,57,Ecuador,Total density per million population: Radiotherapy units,Americas,2010,0.14,16266225.0,8125597.0,8140628.0,5976.1596805651
Lung,Male,Mortality,2015,5.893025661,5.008863966,0.4936804606,407,Ecuador,Total density per million population: Radiotherapy units,Americas,2010,0.14,16266225.0,8125597.0,8140628.0,5976.1596805651
Lung,Male,Mortality,2018,5.612666066,5.189233866,0.5017100903,442,Ecuador,Total density per million population: Radiotherapy units,Americas,2013,0.13,17049547.0,8517638.0,8531909.0,6303.91886658338
Lung,Male,Mortality,2022,4.398404886,4.443783439,0.4318622264,395,Ecuador,Total density per million population: Radiotherapy units,Americas,2017,1.59,17823897.0,8888825.0,8935073.0,6515.58528418336
Lung,Female,Incidence,2015,7.289321694,7.363328729,0.927049268,70,Ecuador,Total density per million population: Radiotherapy units,Americas,2010,0.14,16266225.0,8125597.0,8140628.0,5976.1596805651
Lung,Female,Mortality,2015,3.527577554,3.734354712,0.3841865453,304,Ecuador,Total density per million population: Radiotherapy units,Americas,2010,0.14,16266225.0,8125597.0,8140628.0,5976.1596805651
Lung,Female,Mortality,2018,3.492779014,3.94987804,0.3558322593,337,Ecuador,Total density per million population: Radiotherapy units,Americas,2013,0.13,17049547.0,8517638.0,8531909.0,6303.91886658338
Lung,Female,Mortality,2022,3.502978772,4.27528636,0.3577962408,382,Ecuador,Total density per million population: Radiotherapy units,Americas,2017,1.59,17823897.0,8888825.0,8935073.0,6515.58528418336
Lung,Male,Incidence,2015,51.96227208,93.89991698,6.360666739,578,Estonia,Total density per million population: Radiotherapy units,Europe,2010,2.24,1314576.0,615534.0,699042.0,17722.1557669523
Lung,Male,Mortality,2015,44.15963382,82.20497795,5.631138838,506,Estonia,Total density per million population: Radiotherapy units,Europe,2010,2.24,1314576.0,615534.0,699042.0,17722.1557669523
Lung,Male,Mortality,2018,41.98112658,81.00575462,5.276786684,505,Estonia,Total density per million population: Radiotherapy units,Europe,2013,2.33,1321965.0,623413.0,698552.0,23618.1361254581
Lung,Male,Mortality,2022,28.2523207,57.74667781,3.493314331,370,Estonia,Total density per million population: Radiotherapy units,Europe,2017,6.78,1350091.0,640730.0,709362.0,28340.3826549406
Lung,Female,Incidence,2015,13.10969939,33.75966835,1.658199429,236,Estonia,Total density per million population: Radiotherapy units,Europe,2010,2.24,1314576.0,615534.0,699042.0,17722.1557669523
Lung,Female,Mortality,2015,9.019817627,23.74680187,1.149523692,166,Estonia,Total density per million population: Radiotherapy units,Europe,2010,2.24,1314576.0,615534.0,699042.0,17722.1557669523
Lung,Female,Mortality,2018,8.012228457,23.76344209,0.9828408718,166,Estonia,Total density per million population: Radiotherapy units,Europe,2013,2.33,1321965.0,623413.0,698552.0,23618.1361254581
Lung,Female,Mortality,2022,7.866762247,25.09297087,0.9484885687,178,Estonia,Total density per million population: Radiotherapy units,Europe,2017,6.78,1350091.0,640730.0,709362.0,28340.3826549406
Lung,Male,Incidence,2015,29.5677313,67.45340051,3.77085327,1819,Finland,Total density per million population: Radiotherapy units,Europe,2010,7.46,5479717.0,2696843.0,2782875.0,42560.3456767103
Lung,Male,Incidence,2018,26.84126923,66.88199976,3.401944964,1820,Finland,Total density per million population: Radiotherapy units,Europe,2013,7.37,5515736.0,2721322.0,2794415.0,49654.2497035329
Lung,Male,Mortality,2015,22.94776438,54.06322394,2.81569766,1458,Finland,Total density per million population: Radiotherapy units,Europe,2010,7.46,5479717.0,2696843.0,2782875.0,42560.3456767103
Lung,Male,Mortality,2018,21.18286811,53.68715163,2.621618209,1461,Finland,Total density per million population: Radiotherapy units,Europe,2013,7.37,5515736.0,2721322.0,2794415.0,49654.2497035329
Lung,Female,Incidence,2015,14.01710238,35.79059484,1.8373125,996,Finland,Total density per million population: Radiotherapy units,Europe,2010,7.46,5479717.0,2696843.0,2782875.0,42560.3456767103
Lung,Female,Incidence,2018,14.54449962,39.58037644,1.861571468,1106,Finland,Total density per million population: Radiotherapy units,Europe,2013,7.37,5515736.0,2721322.0,2794415.0,49654.2497035329
Lung,Female,Mortality,2015,10.15075007,27.88483133,1.330197998,776,Finland,Total density per million population: Radiotherapy units,Europe,2010,7.46,5479717.0,2696843.0,2782875.0,42560.3456767103
Lung,Female,Mortality,2018,9.852857559,28.84324626,1.234414636,806,Finland,Total density per million population: Radiotherapy units,Europe,2013,7.37,5515736.0,2721322.0,2794415.0,49654.2497035329
Lung,Male,Incidence,2015,48.23283201,92.74474996,6.007951235,3375,France,Total density per million population: Radiotherapy units,Europe,2010,6.78,64916336.0,31416099.0,33500237.999999996,36702.4323733379
Lung,Male,Mortality,2015,36.37620631,72.34507493,4.430292151,22728,France,Total density per million population: Radiotherapy units,Europe,2010,6.78,64916336.0,31416099.0,33500237.999999996,36702.4323733379
Lung,Male,Mortality,2018,31.90302494,67.58290929,3.891649658,21438,France,Total density per million population: Radiotherapy units,Europe,2013,7.51,65519543.0,31721037.0,33798505.0,41418.1766484844
Lung,Male,Mortality,2022,27.6332503,63.33098172,3.397045857,20340,France,Total density per million population: Radiotherapy units,Europe,2017,9.18,66277409.0,32116982.0,34160427.0,40988.6396406579
Lung,Female,Incidence,2015,19.789965,38.50563805,2.391104072,1481,France,Total density per million population: Radiotherapy units,Europe,2010,6.78,64916336.0,31416099.0,33500237.999999996,36702.4323733379
Lung,Female,Mortality,2015,12.48697611,27.02965912,1.504917449,9055,France,Total density per million population: Radiotherapy units,Europe,2010,6.78,64916336.0,31416099.0,33500237.999999996,36702.4323733379
Lung,Female,Mortality,2018,12.03385936,27.37990926,1.459243363,9254,France,Total density per million population: Radiotherapy units,Europe,2013,7.51,65519543.0,31721037.0,33798505.0,41418.1766484844
Lung,Female,Mortality,2022,12.08152786,29.80641943,1.518715881,10182,France,Total density per million population: Radiotherapy units,Europe,2017,9.18,66277409.0,32116982.0,34160427.0,40988.6396406579
Lung,Male,Mortality,2015,33.01598244,48.64001725,4.225349809,866,Georgia,Total density per million population: Radiotherapy units,Europe,2010,1.38,3791573.0,1766794.0,2024778.0,4086.6223465965
Lung,Male,Mortality,2018,35.47886599,54.37604328,4.519874566,974,Georgia,Total density per million population: Radiotherapy units,Europe,2013,1.38,3794877.0,1767621.0,2027255.0,4804.0546040444
Lung,Male,Mortality,2022,28.34695331,45.52523904,3.701720769,812,Georgia,Total density per million population: Radiotherapy units,Europe,2017,5.26,3794784.0,1768050.0,2026734.0,6729.84659930283
Lung,Female,Mortality,2015,3.689059525,7.969766306,0.3984044466,155,Georgia,Total density per million population: Radiotherapy units,Europe,2010,1.38,3791573.0,1766794.0,2024778.0,4086.6223465965
Lung,Female,Mortality,2018,4.346638545,9.455800591,0.4622658606,183,Georgia,Total density per million population: Radiotherapy units,Europe,2013,1.38,3794877.0,1767621.0,2027255.0,4804.0546040444
Lung,Female,Mortality,2022,2.517182174,5.911569148,0.2987527201,114,Georgia,Total density per million population: Radiotherapy units,Europe,2017,5.26,3794784.0,1768050.0,2026734.0,6729.84659930283
Lung,Male,Incidence,2015,43.65640944,99.27920533,5.430121774,3089,Germany,Total density per million population: Radiotherapy units,Europe,2010,6.43,82077550.0,40401847.0,41675704.0,41929.7549110722
Lung,Male,Mortality,2015,30.84187971,73.1254127,3.760362487,29378,Germany,Total density per million population: Radiotherapy units,Europe,2010,6.43,82077550.0,40401847.0,41675704.0,41929.7549110722
Lung,Male,Mortality,2018,28.40200254,69.34337387,3.510514831,28365,Germany,Total density per million population: Radiotherapy units,Europe,2013,6.44,83368505.0,41163696.0,42204810.0,48916.1686612154
Lung,Female,Incidence,2015,28.58327736,65.68243837,3.716629348,2128,Germany,Total density per million population: Radiotherapy units,Europe,2010,6.43,82077550.0,40401847.0,41675704.0,41929.7549110722
Lung,Female,Mortality,2015,15.17924691,38.25654879,1.933779832,15881,Germany,Total density per million population: Radiotherapy units,Europe,2010,6.43,82077550.0,40401847.0,41675704.0,41929.7549110722
Lung,Female,Mortality,2018,15.03156382,39.31842976,1.951454028,16514,Germany,Total density per million population: Radiotherapy units,Europe,2013,6.44,83368505.0,41163696.0,42204810.0,48916.1686612154
Lung,Male,Mortality,2015,47.29046896,109.9060662,5.789628684,5745,Greece,Total density per million population: Radiotherapy units,Europe,2010,4.23,10820903.0,5227191.0,5593712.0,17980.7298238137
Lung,Male,Mortality,2018,43.7864458,106.5905194,5.473806128,5529,Greece,Total density per million population: Radiotherapy units,Europe,2013,4.31,10730844.0,5187141.0,5543703.0,19873.4015238771
Lung,Female,Mortality,2015,10.2196178,25.26050906,1.258667604,1413,Greece,Total density per million population: Radiotherapy units,Europe,2010,4.23,10820903.0,5227191.0,5593712.0,17980.7298238137
Lung,Female,Mortality,2018,10.56427073,27.36438081,1.362319486,1517,Greece,Total density per million population: Radiotherapy units,Europe,2013,4.31,10730844.0,5187141.0,5543703.0,19873.4015238771
Lung,Male,Incidence,2015,22.29273282,25.93462902,2.927441907,231,Argentina,Total density per million population: Radiotherapy units,Americas,2010,2.82,43477012.0,21537702.0,21939310.0,13679.6264980954
Lung,Male,Mortality,2015,24.6341104,30.48143205,3.057697221,6565,Argentina,Total density per million population: Radiotherapy units,Americas,2010,2.82,43477012.0,21537702.0,21939310.0,13679.6264980954
Lung,Male,Mortality,2018,21.46606263,27.56202466,2.656230777,6103,Argentina,Total density per million population: Radiotherapy units,Americas,2013,2.75,44654882.0,22142786.0,22512096.0,11752.7998922979
Lung,Male,Mortality,2022,16.96315197,23.11435248,2.113642386,5207,Argentina,Total density per million population: Radiotherapy units,Americas,2017,3.96,45407904.0,22527129.0,22880775.0,13962.1894087223
Lung,Female,Incidence,2015,7.436644244,9.488869769,0.9089905807,89,Argentina,Total density per million population: Radiotherapy units,Americas,2010,2.82,43477012.0,21537702.0,21939310.0,13679.6264980954
Lung,Female,Mortality,2015,9.479204505,14.23472297,1.177742141,3123,Argentina,Total density per million population: Radiotherapy units,Americas,2010,2.82,43477012.0,21537702.0,21939310.0,13679.6264980954
Lung,Female,Mortality,2018,8.995469402,13.86810006,1.127222566,3122,Argentina,Total density per million population: Radiotherapy units,Americas,2013,2.75,44654882.0,22142786.0,22512096.0,11752.7998922979
Lung,Female,Mortality,2022,8.678457768,14.22154625,1.114530097,3254,Argentina,Total density per million population: Radiotherapy units,Americas,2017,3.96,45407904.0,22527129.0,22880775.0,13962.1894087223
Lung,Male,Mortality,2015,4.090229554,2.510066755,0.3912569839,199,Guatemala,Total density per million population: Radiotherapy units,Americas,2010,0.83,15971743.0,7928078.0,8043664.0,3893.50533299068
Lung,Male,Mortality,2018,4.588597122,2.762612312,0.4638762386,231,Guatemala,Total density per million population: Radiotherapy units,Americas,2013,0.65,16845685.0,8361648.999999999,8484035.0,4352.94593289707
Lung,Male,Mortality,2022,3.665433912,2.293404113,0.3914389695,203,Guatemala,Total density per million population: Radiotherapy units,Americas,2017,0.78,17847877.0,8851469.0,8996407.0,5358.70156997677
Lung,Female,Mortality,2015,2.75073162,1.852389427,0.3339209336,149,Guatemala,Total density per million population: Radiotherapy units,Americas,2010,0.83,15971743.0,7928078.0,8043664.0,3893.50533299068
Lung,Female,Mortality,2018,3.170472079,2.180566205,0.375872763,185,Guatemala,Total density per million population: Radiotherapy units,Americas,2013,0.65,16845685.0,8361648.999999999,8484035.0,4352.94593289707
Lung,Female,Mortality,2022,2.867786998,2.134184636,0.3042204856,192,Guatemala,Total density per million population: Radiotherapy units,Americas,2017,0.78,17847877.0,8851469.0,8996407.0,5358.70156997677
Lung,Male,Mortality,2015,6.398180472,5.369141931,0.7007270973,20,Guyana,Total density per million population: Radiotherapy units,Americas,2010,1.33,758781.0,372499.0,386282.0,5640.41560569466
Lung,Male,Mortality,2018,9.854058583,8.249697726,1.086890229,32,Guyana,Total density per million population: Radiotherapy units,Americas,2013,1.25,791556.0,387895.0,403661.0,6048.38697180418
Lung,Female,Mortality,2015,5.415525171,4.918660882,0.646003762,19,Guyana,Total density per million population: Radiotherapy units,Americas,2010,1.33,758781.0,372499.0,386282.0,5640.41560569466
Lung,Female,Mortality,2018,5.570265885,5.450117797,0.5202086976,22,Guyana,Total density per million population: Radiotherapy units,Americas,2013,1.25,791556.0,387895.0,403661.0,6048.38697180418
Lung,Male,Mortality,2015,62.91742148,114.196421,7.903734609,5356,Hungary,Total density per million population: Radiotherapy units,Europe,2010,1.8,9839211.0,4690164.0,5149047.0,12782.9412577973
Lung,Male,Mortality,2018,60.58876289,114.2906054,7.738514951,5341,Hungary,Total density per million population: Radiotherapy units,Europe,2013,1.81,9774394.0,4673175.0,5101218.0,16605.0570511887
Lung,Male,Mortality,2022,48.05737654,96.2081834,6.226005765,4469,Hungary,Total density per million population: Radiotherapy units,Europe,2017,6.11,9684306.0,4645135.0,5039171.0,18428.028825614
Lung,Female,Mortality,2015,29.35121508,65.97337973,3.696529058,3397,Hungary,Total density per million population: Radiotherapy units,Europe,2010,1.8,9839211.0,4690164.0,5149047.0,12782.9412577973
Lung,Female,Mortality,2018,28.02828687,66.14106022,3.62252307,3374,Hungary,Total density per million population: Radiotherapy units,Europe,2013,1.81,9774394.0,4673175.0,5101218.0,16605.0570511887
Lung,Female,Mortality,2022,25.46071852,65.30836772,3.415833792,3291,Hungary,Total density per million population: Radiotherapy units,Europe,2017,6.11,9684306.0,4645135.0,5039171.0,18428.028825614
Lung,Male,Incidence,2015,36.38552943,62.56993996,4.457333938,104,Iceland,Total density per million population: Radiotherapy units,Europe,2010,6.25,330952.0,166271.0,164680.0,53505.6964079339
Lung,Male,Incidence,2018,23.17344141,41.06274832,2.822642861,74,Iceland,Total density per million population: Radiotherapy units,Europe,2013,6.07,352854.0,180258.0,172595.0,75633.8651351915
Lung,Male,Incidence,2022,26.69560332,47.32728087,3.167053104,93,Iceland,Total density per million population: Radiotherapy units,Europe,2017,8.8,380356.0,194847.0,185508.0,76350.4550416502
Lung,Female,Incidence,2015,31.48399383,56.51502814,4.289588891,93,Iceland,Total density per million population: Radiotherapy units,Europe,2010,6.25,330952.0,166271.0,164680.0,53505.6964079339
Lung,Female,Incidence,2018,29.18988676,57.97168663,3.478685668,100,Iceland,Total density per million population: Radiotherapy units,Europe,2013,6.07,352854.0,180258.0,172595.0,75633.8651351915
